data,label
"[2013, 24, 2, 5, 5]",1
"[2013, 24, 2, 6, 5]",1
"[2013, 24, 2, 7, 5]",8
"[2013, 24, 2, 8, 5]",28
"[2013, 24, 2, 9, 5]",19
"[2013, 24, 2, 10, 5]",6
"[2013, 24, 2, 11, 5]",3
"[2013, 24, 2, 12, 5]",5
"[2013, 24, 2, 13, 5]",8
"[2013, 24, 2, 14, 5]",12
"[2013, 24, 2, 15, 5]",5
"[2013, 24, 2, 16, 5]",6
"[2013, 24, 2, 17, 5]",6
"[2013, 24, 2, 18, 5]",2
"[2013, 24, 2, 19, 5]",4
"[2013, 24, 2, 20, 5]",2
"[2013, 24, 2, 21, 5]",9
"[2013, 24, 2, 22, 5]",3
"[2013, 24, 2, 23, 5]",0
"[2013, 24, 3, 0, 5]",0
"[2013, 24, 3, 1, 5]",0
"[2013, 24, 3, 2, 5]",0
"[2013, 24, 3, 3, 5]",0
"[2013, 24, 3, 4, 5]",0
"[2013, 24, 3, 5, 5]",0
"[2013, 24, 3, 6, 5]",0
"[2013, 24, 3, 7, 5]",11
"[2013, 24, 3, 8, 1]",26
"[2013, 24, 3, 9, 2]",28
"[2013, 24, 3, 10, 5]",9
"[2013, 24, 3, 11, 5]",6
"[2013, 24, 3, 12, 5]",4
"[2013, 24, 3, 13, 5]",10
"[2013, 24, 3, 14, 5]",12
"[2013, 24, 3, 15, 2]",9
"[2013, 24, 3, 16, 5]",13
"[2013, 24, 3, 17, 5]",26
"[2013, 24, 3, 18, 5]",38
"[2013, 24, 3, 19, 5]",56
"[2013, 24, 3, 20, 5]",17
"[2013, 24, 3, 21, 2]",12
"[2013, 24, 3, 22, 5]",2
"[2013, 24, 3, 23, 2]",3
"[2013, 24, 4, 0, 5]",4
"[2013, 24, 4, 1, 5]",0
"[2013, 24, 4, 2, 5]",0
"[2013, 24, 4, 3, 5]",0
"[2013, 24, 4, 4, 3]",0
"[2013, 24, 4, 5, 3]",4
"[2013, 24, 4, 6, 3]",7
"[2013, 24, 4, 7, 1]",21
"[2013, 24, 4, 8, 1]",38
"[2013, 24, 4, 9, 5]",21
"[2013, 24, 4, 10, 5]",8
"[2013, 24, 4, 11, 5]",8
"[2013, 24, 4, 12, 5]",7
"[2013, 24, 4, 13, 5]",6
"[2013, 24, 4, 14, 5]",7
"[2013, 24, 4, 15, 5]",12
"[2013, 24, 4, 16, 5]",14
